time,n,p,k, soiltemp , temperature, humidity, irrigation  
276.09, 255, 255,255,30.06, 33.0,95 
276.97, 255, 255,255,30.06, 33.0,95 
279.65, 255, 255,255,30.00, 33.0,95 
280.54, 255, 255,255,30.00, 33.0,95 
281.40, 255, 255,255,30.00, 33.0,95 
286.67, 255, 255,255,30.00, 33.0,95 
287.57, 255, 255,255,29.94, 33.0,95 
290.26, 63, 10,70,29.94, 33.0,95 
292.07, 63, 10,70,29.94, 33.0,95 
294.72, 63, 10,70,29.94, 32.0,95 
295.63, 63, 10,70,29.88, 32.0,95 
298.20, 63, 10,70,29.81, 32.0,95 
301.67, 62, 10,70,29.81, 32.0,95 
302.52, 62, 10,70,29.81, 32.0,95 
304.25, 62, 10,70,29.81, 32.0,95 
305.99, 63, 10,70,29.75, 32.0,95 
308.64, 62, 10,70,29.75, 32.0,95 
310.35, 62, 10,70,29.75, 32.0,95 
311.29, 62, 10,70,29.69, 32.0,95 
313.07, 62, 10,70,29.69, 32.0,95 
314.80, 62, 10,70,29.69, 32.0,95 
320.17, 62, 10,70,29.62, 32.0,95 
321.97, 62, 10,70,29.62, 32.0,95 
323.69, 62, 10,70,29.56, 31.0,95 
324.55, 62, 10,70,29.56, 32.0,95 
325.41, 62, 10,70,29.56, 31.0,95 
326.30, 62, 10,70,29.56, 32.0,95 
327.17, 62, 10,70,29.50, 32.0,95 
328.92, 69, 62,10,29.50, 31.0,95 
330.59, 69, 62,10,29.44, 31.0,95 
333.10, 69, 62,10,29.44, 31.0,95 
338.30, 69, 62,10,29.44, 31.0,95 
339.16, 69, 62,10,29.38, 31.0,95 
340.02, 69, 62,10,29.38, 31.0,95 
345.23, 69, 62,10,29.25, 31.0,95 
